id,sex
1,Male
3,Male
4,Male
11,Male
12,Male
15,Male
17,Male
18,Male
23,Male
26,Male
27,Male
31,Male
36,Male
37,Male
43,Male
45,Male
46,Male
49,Male
63,Male
65,Male
74,Male
75,Male
78,Male
82,Male
95,Male
102,Male
106,Male
134,Male
139,Male
143,Male
155,Male
156,Male
169,Male
175,Male
177,Male
179,Male
181,Male
186,Male
190,Male
193,Male
194,Male
196,Male
200,Male
223,Male
224,Male
231,Male
233,Male
238,Male
244,Male
250,Male
254,Male
267,Male
268,Male
271,Male
274,Male
282,Male
286,Male
287,Male
294,Male
300,Male
301,Male
311,Male
316,Male
323,Male
325,Male
326,Male
330,Male
332,Male
333,Male
334,Male
335,Male
337,Male
339,Male
340,Male
342,Male
343,Male
344,Male
347,Male
349,Male
355,Male
356,Male
363,Male
366,Male
372,Male
373,Male
374,Male
392,Male
393,Male
408,Male
414,Male
417,Male
422,Male
424,Male
428,Male
435,Male
445,Male
448,Male
452,Male
454,Male
458,Male
460,Male
464,Male
467,Male
473,Male
481,Male
482,Male
499,Male
502,Male
503,Male
505,Male
514,Male
524,Male
527,Male
529,Male
534,Male
539,Male
552,Male
554,Male
556,Male
560,Male
562,Male
576,Male
585,Male
587,Male
588,Male
593,Male
597,Male
598,Male
603,Male
604,Male
614,Male
622,Male
635,Male
638,Male
644,Male
654,Male
655,Male
675,Male
683,Male
688,Male
690,Male
693,Male
694,Male
696,Male
697,Male
698,Male
701,Male
705,Male
709,Male
710,Male
713,Male
726,Male
732,Male
735,Male
736,Male
737,Male
739,Male
740,Male
743,Male
746,Male
755,Male
757,Male
762,Male
767,Male
772,Male
776,Male
783,Male
784,Male
786,Male
789,Male
792,Male
804,Male
811,Male
816,Male
817,Male
821,Male
823,Male
849,Male
851,Male
853,Male
857,Male
861,Male
866,Male
868,Male
869,Male
870,Male
879,Male
880,Male
883,Male
886,Male
889,Male
894,Male
902,Male
904,Male
910,Male
912,Male
917,Male
918,Male
919,Male
922,Male
924,Male
925,Male
926,Male
929,Male
932,Male
954,Male
955,Male
963,Male
971,Male
974,Male
976,Male
980,Male
981,Male
984,Male
987,Male
989,Male
996,Male
998,Male
1003,Male
1009,Male
1012,Male
1021,Male
1027,Male
1037,Male
1041,Male
1046,Male
1051,Male
1053,Male
1055,Male
1056,Male
1060,Male
1064,Male
1065,Male
1067,Male
1084,Male
1096,Male
1099,Male
1101,Male
1103,Male
1104,Male
1109,Male
1120,Male
1123,Male
1134,Male
1135,Male
1140,Male
1142,Male
1143,Male
1144,Male
1146,Male
1168,Male
1173,Male
1176,Male
1185,Male
1191,Male
1194,Male
1195,Male
1198,Male
1202,Male
1206,Male
1212,Male
1226,Male
1229,Male
1237,Male
1255,Male
1260,Male
1261,Male
1281,Male
1283,Male
1286,Male
1288,Male
1289,Male
1292,Male
1295,Male
1301,Male
1303,Male
1307,Male
1309,Male
1311,Male
1315,Male
1316,Male
1323,Male
1325,Male
1328,Male
1329,Male
1338,Male
1357,Male
1358,Male
1361,Male
1364,Male
1376,Male
1377,Male
1399,Male
1402,Male
1412,Male
1413,Male
1416,Male
1418,Male
1422,Male
1435,Male
1438,Male
1441,Male
1446,Male
1447,Male
1449,Male
1455,Male
1458,Male
1464,Male
1480,Male
1482,Male
1490,Male
1491,Male
1506,Male
1514,Male
1517,Male
1518,Male
1519,Male
1530,Male
1536,Male
1538,Male
1541,Male
1545,Male
1547,Male
1550,Male
1555,Male
1584,Male
1588,Male
1593,Male
1594,Male
1598,Male
1599,Male
1609,Male
1610,Male
1611,Male
1623,Male
1624,Male
1627,Male
1628,Male
1629,Male
1633,Male
1638,Male
1644,Male
1645,Male
1646,Male
1652,Male
1655,Male
1658,Male
1677,Male
1678,Male
1703,Male
1709,Male
1710,Male
1718,Male
1726,Male
1732,Male
1734,Male
1744,Male
1746,Male
1748,Male
1756,Male
1758,Male
1760,Male
1770,Male
1790,Male
1804,Male
1812,Male
1813,Male
1817,Male
1820,Male
1825,Male
1830,Male
1833,Male
1840,Male
1844,Male
1845,Male
1847,Male
1857,Male
1865,Male
1867,Male
1873,Male
1878,Male
1882,Male
1901,Male
1906,Male
1910,Male
1911,Male
1913,Male
1917,Male
1918,Male
1921,Male
1923,Male
1941,Male
1943,Male
1947,Male
1954,Male
1979,Male
1985,Male
1986,Male
1999,Male
2006,Male
2007,Male
2009,Male
2010,Male
2012,Male
2014,Male
2016,Male
2021,Male
2023,Male
2026,Male
2027,Male
2032,Male
2034,Male
2040,Male
2041,Male
2046,Male
2047,Male
2056,Male
2059,Male
2063,Male
2064,Male
2065,Male
2074,Male
2078,Male
2091,Male
2094,Male
2099,Male
2104,Male
2105,Male
2110,Male
2113,Male
2115,Male
2121,Male
2132,Male
2142,Male
2149,Male
2150,Male
2153,Male
2154,Male
2158,Male
2164,Male
2165,Male
2185,Male
2193,Male
2195,Male
2199,Male
2205,Male
2214,Male
2216,Male
2219,Male
2226,Male
2231,Male
2233,Male
2239,Male
2242,Male
2244,Male
2252,Male
2253,Male
2258,Male
2268,Male
2274,Male
2278,Male
2280,Male
2284,Male
2286,Male
2302,Male
2303,Male
2306,Male
2322,Male
2323,Male
2338,Male
2343,Male
