tourney_pk,tourney_id,date_id,tourney_name,surface,draw_size,tourney_level,tourney_spectators,tourney_revenue
2017-W-WITF-USA-10A-201780201720410Indian Harbour Beach FL $80K,2017-W-WITF-USA-10A-2017,201720410,Indian Harbour Beach FL $80K,Clay,32,80,4255,604013.87
2019-W-FC-2019-G1-AM-A-M-COL-ECU-01D201910208Fed Cup G1 RR: COL vs ECU,2019-W-FC-2019-G1-AM-A-M-COL-ECU-01,201910208,Fed Cup G1 RR: COL vs ECU,Clay,2,D,230,45052.68
2018-W-WITF-THA-04A-201825201820604Hua Hin $25K,2018-W-WITF-THA-04A-2018,201820604,Hua Hin $25K,Hard,32,25,2998,562328.31
2017-W-WITF-GRE-08A-201715201741106Heraklion $15K,2017-W-WITF-GRE-08A-2017,201741106,Heraklion $15K,Clay,32,15,3086,522606.93
2018-W-FC-2018-G1-AM-B-M-ARG-BRA-01D201810209Fed Cup G1 RR: ARG vs BRA,2018-W-FC-2018-G1-AM-B-M-ARG-BRA-01,201810209,Fed Cup G1 RR: ARG vs BRA,Clay,2,D,185,40332.05
2017-7746C201730807Jinan CH,2017-7746,201730807,Jinan CH,Hard,32,C,3292,699278.17
2020-W-ITF-TUN-33A-202015202041005W15 Monastir,2020-W-ITF-TUN-33A-2020,202041005,W15 Monastir,Hard,32,15,3077,686318.24
2020-W-ITF-TUR-03A-202015202010120W15 Antalya,2020-W-ITF-TUR-03A-2020,202010120,W15 Antalya,Clay,32,15,4081,586948.45
2021-718P202110307Dubai,2021-718,202110307,Dubai,Hard,64,P,6453,1523480.92
2016-W-C50-USA-12A-201650201641107Waco TX $50K,2016-W-C50-USA-12A-2016,201641107,Waco TX $50K,Hard,32,50,3640,600283.39
2020-M009P202030914Rome,2020-M009,202030914,Rome,Clay,64,P,6305,1025113.95
2018-W-WITF-TUR-11A-201815201810319Antalya $15K,2018-W-WITF-TUR-11A-2018,201810319,Antalya $15K,Clay,32,15,3198,754261.15
2018-W-WITF-EGY-27A-201815201841119Sharm El Sheikh $15K,2018-W-WITF-EGY-27A-2018,201841119,Sharm El Sheikh $15K,Hard,32,15,4372,847301.48
2017-7318C201730918Columbus CH,2017-7318,201730918,Columbus CH,Hard,32,C,2375,439821.01
2019-W-ITF-TUN-32A-201915201930805W15 Tabarka,2019-W-ITF-TUN-32A-2019,201930805,W15 Tabarka,Clay,32,15,3980,897477.53
2016-0352M201641031Paris Masters,2016-0352,201641031,Paris Masters,Hard,64,M,8536,2298651.21
2019-0460C201920513Heilbronn CH,2019-0460,201920513,Heilbronn CH,Clay,64,C,8081,1726981.62
2016-0786C201630711Poznan CH,2016-0786,201630711,Poznan CH,Clay,32,C,3123,574481.25
2017-W-WITF-ESP-14A-201725201730731El Espinar Segovia $25K,2017-W-WITF-ESP-14A-2017,201730731,El Espinar Segovia $25K,Hard,32,25,3959,777509.02
2018-3406C201810305Santiago CH,2018-3406,201810305,Santiago CH,Clay,32,C,4599,979657.49
2018-W-FC-2018-G2-AM-A-B-M-PER-CUB-01D201820622Fed Cup G2 RR: PER vs CUB,2018-W-FC-2018-G2-AM-A-B-M-PER-CUB-01,201820622,Fed Cup G2 RR: PER vs CUB,Hard,2,D,185,36006.05
2018-M014P201841015Moscow,2018-M014,201841015,Moscow,Hard,32,P,3295,927243.32
2020-W-FC-2020-G1-EPA-A-B-M-ITA-AUT-01D202010205Fed Cup G1 RR: ITA vs AUT,2020-W-FC-2020-G1-EPA-A-B-M-ITA-AUT-01,202010205,Fed Cup G1 RR: ITA vs AUT,Hard,2,D,165,32441.37
2019-W-ITF-CHN-09A-201925201920527W25 Luzhou,2019-W-ITF-CHN-09A-2019,201920527,W25 Luzhou,Hard,32,25,2864,594250.84
2016-W-C25-USA-04A-201625201610215Surprise AZ $25K,2016-W-C25-USA-04A-2016,201610215,Surprise AZ $25K,Hard,32,25,3387,699780.77
2017-W-WITF-JPN-07A-201725201720522Karuizawa $25K,2017-W-WITF-JPN-07A-2017,201720522,Karuizawa $25K,Carpet,32,25,2907,564015.81
2017-W-FC-2017-G1-AO-B-M-IND-PHI-01D201710210Fed Cup G1 RR: IND vs PHI,2017-W-FC-2017-G1-AO-B-M-IND-PHI-01,201710210,Fed Cup G1 RR: IND vs PHI,Hard,2,D,245,48192.13
2019-1003P201910211Doha,2019-1003,201910211,Doha,Hard,32,P,3272,704029.87
2018-W-WITF-GER-02A-201825201810219Altenkirchen $25K,2018-W-WITF-GER-02A-2018,201810219,Altenkirchen $25K,Carpet,32,25,3595,574883.01
2019-W-ITF-CHN-17A-201925201930819W25 Guiyang,2019-W-ITF-CHN-17A-2019,201930819,W25 Guiyang,Hard,32,25,3745,734675.66
2020-W-ITF-TUN-41A-202015202041130W15 Monastir,2020-W-ITF-TUN-41A-2020,202041130,W15 Monastir,Hard,32,15,3184,542468.32
2017-W-WITF-AUS-11A-201725201741002Toowoomba $25K,2017-W-WITF-AUS-11A-2017,201741002,Toowoomba $25K,Hard,32,25,3899,749044.03
2018-M-DC-2018-WG-PO-JPN-BIH-01D201830914Davis Cup WG PO: JPN vs BIH,2018-M-DC-2018-WG-PO-JPN-BIH-01,201830914,Davis Cup WG PO: JPN vs BIH,Hard,4,D,476,95798.04
2016-W-FC-2016-G1-AO-B-M-CHN-KOR-01D201610204Fed Cup G1 RR: CHN vs KOR,2016-W-FC-2016-G1-AO-B-M-CHN-KOR-01,201610204,Fed Cup G1 RR: CHN vs KOR,Hard,2,D,201,41005.77
2017-M-DC-2017-WG-M-SUI-USA-01D201710203Davis Cup WG R1: SUI vs USA,2017-M-DC-2017-WG-M-SUI-USA-01,201710203,Davis Cup WG R1: SUI vs USA,Hard,4,D,359,74712.54
2017-7288C201720508Seoul CH,2017-7288,201720508,Seoul CH,Hard,32,C,2338,374348.66
2019-W-ITF-SUI-03A-201960201930902W60 Montreux,2019-W-ITF-SUI-03A-2019,201930902,W60 Montreux,Clay,32,60,2795,623346.45
2021-W-ITF-ISR-01A-202115202120503W15 Ramat Hasharon,2021-W-ITF-ISR-01A-2021,202120503,W15 Ramat Hasharon,Hard,32,15,2917,533501.77
2019-M007M201910318Miami Masters,2019-M007,201910318,Miami Masters,Hard,128,M,15751,1758612.85
2021-9503C202120517Biella 6 CH,2021-9503,202120517,Biella 6 CH,Clay,32,C,3189,641719.64
2019-W-ITF-CZE-11A-201925201930923W25 Brno,2019-W-ITF-CZE-11A-2019,201930923,W25 Brno,Clay,32,25,3398,551536.95
2021-W-ITF-TUR-23A-202115202120607W15 Antalya,2021-W-ITF-TUR-23A-2021,202120607,W15 Antalya,Clay,32,15,3640,808327.96
2017-1027I201720424Istanbul,2017-1027,201720424,Istanbul,Clay,32,I,2229,404665.25
2018-7235C201810312Drummondville CH,2018-7235,201810312,Drummondville CH,Hard,32,C,2132,391797.6
2016-W-FC-2016-G2-AM-B-M-PUR-BAH-01D201610204Fed Cup G2 RR: PUR vs BAH,2016-W-FC-2016-G2-AM-B-M-PUR-BAH-01,201610204,Fed Cup G2 RR: PUR vs BAH,,2,D,232,47942.19
2017-0406I201720522Strasbourg,2017-0406,201720522,Strasbourg,Clay,32,I,3715,572234.65
2017-W-FC-2017-G1-EPA-C-M-GBR-LAT-01D201710210Fed Cup G1 RR: GBR vs LAT,2017-W-FC-2017-G1-EPA-C-M-GBR-LAT-01,201710210,Fed Cup G1 RR: GBR vs LAT,Hard,2,D,214,43053.05
2016-W-FC-2016-G2-AO-B-M-SIN-SRI-01D201620412Fed Cup G2 RR: SIN vs SRI,2016-W-FC-2016-G2-AO-B-M-SIN-SRI-01,201620412,Fed Cup G2 RR: SIN vs SRI,Hard,2,D,131,27307.7
2018-7021C201820521Mestre CH,2018-7021,201820521,Mestre CH,Clay,32,C,2938,625103.02
2018-7913C201820507Braga CH,2018-7913,201820507,Braga CH,Clay,32,C,2726,580355.5
2018-W-WITF-POR-15A-201815201830910Montemor O Novo $15K,2018-W-WITF-POR-15A-2018,201830910,Montemor O Novo $15K,Hard,32,15,2053,389213.94
2018-W-WITF-USA-01A-201825201810108Daytona Beach FL $25K,2018-W-WITF-USA-01A-2018,201810108,Daytona Beach FL $25K,Clay,32,25,4885,1042369.53
2020-W-ITF-ESP-18A-202015202041026W15 Platja D'Aro,2020-W-ITF-ESP-18A-2020,202041026,W15 Platja D'Aro,Clay,32,15,3095,522475.48
2018-7876C201810319Qujing CH,2018-7876,201810319,Qujing CH,Hard,32,C,4177,759510.9
2017-W-WITF-BLR-02A-201715201720612Minsk $15K,2017-W-WITF-BLR-02A-2017,201720612,Minsk $15K,Clay,32,15,2371,484701.3
2018-W-WITF-RUS-06A-201815201830813Moscow $15K,2018-W-WITF-RUS-06A-2018,201830813,Moscow $15K,Clay,32,15,3368,625996.28
2016-W-FC-2016-G2-AM-B-M-DOM-GUA-01D201610203Fed Cup G2 RR: DOM vs GUA,2016-W-FC-2016-G2-AM-B-M-DOM-GUA-01,201610203,Fed Cup G2 RR: DOM vs GUA,,2,D,205,40271.55
2016-7490C201620411Gwangju CH,2016-7490,201620411,Gwangju CH,Hard,32,C,2772,462658.86
2017-M-DC-2017-WG-M-FRA-GBR-01D201720407Davis Cup WG QF: FRA vs GBR,2017-M-DC-2017-WG-M-FRA-GBR-01,201720407,Davis Cup WG QF: FRA vs GBR,Clay,4,D,347,68747.25
2018-W-WITF-BRA-02A-201825201810226Sao Paulo $25K,2018-W-WITF-BRA-02A-2018,201810226,Sao Paulo $25K,Clay,32,25,3653,673274.43
2016-M-DC-2016-G1-AO-M-IND-KOR-01D201630715Davis Cup G1 R2: IND vs KOR,2016-M-DC-2016-G1-AO-M-IND-KOR-01,201630715,Davis Cup G1 R2: IND vs KOR,Grass,4,D,442,90319.7
2018-M-DC-2018-G2-AM-M-ESA-URU-01D201810203Davis Cup G2 R1: ESA vs URU,2018-M-DC-2018-G2-AM-M-ESA-URU-01,201810203,Davis Cup G2 R1: ESA vs URU,Hard,4,D,345,72760.7
2018-W-WITF-CHN-16A-201825201830813Guiyang $25K,2018-W-WITF-CHN-16A-2018,201830813,Guiyang $25K,Hard,32,25,2601,489033.63
2017-W-WITF-USA-39A-201780201741030Tyler TX $80K,2017-W-WITF-USA-39A-2017,201741030,Tyler TX $80K,Hard,32,80,2496,573204.57
2020-7235C202010217Drummondville CH,2020-7235,202010217,Drummondville CH,Hard,64,C,7314,731313.34
2019-7878C201910325Marbella CH,2019-7878,201910325,Marbella CH,Clay,64,C,5019,1136223.42
2018-W-WITF-THA-12A-201815201841105Nonthaburi $15K,2018-W-WITF-THA-12A-2018,201841105,Nonthaburi $15K,Hard,32,15,2542,393195.75
2017-1023I201730918Guangzhou,2017-1023,201730918,Guangzhou,Hard,32,I,2973,711454.12
2021-W-ITF-EGY-05A-202115202110201W15 Sharm El Sheikh,2021-W-ITF-EGY-05A-2021,202110201,W15 Sharm El Sheikh,Hard,32,15,3692,843213.97
2016-7295C201620606Moscow CH,2016-7295,201620606,Moscow CH,Clay,32,C,2050,434615.29
2017-W-WITF-SWE-04A-201715201741023Stockholm $15K,2017-W-WITF-SWE-04A-2017,201741023,Stockholm $15K,Hard,32,15,3326,632954.72
2017-7434A201710206Sofia,2017-7434,201710206,Sofia,Hard,32,A,2872,456577.82
2019-M-DC-2019-QLS-M-KAZ-POR-01D201910201Davis Cup QLS R1: KAZ vs POR,2019-M-DC-2019-QLS-M-KAZ-POR-01,201910201,Davis Cup QLS R1: KAZ vs POR,Hard,4,D,474,96233.49
2016-0499A201610215Delray Beach,2016-0499,201610215,Delray Beach,Hard,32,A,3954,858868.26
2019-W-FC-2019-WG2-M-SVK-LAT-01D201910209Fed Cup WG2 R1: SVK vs LAT,2019-W-FC-2019-WG2-M-SVK-LAT-01,201910209,Fed Cup WG2 R1: SVK vs LAT,Hard,4,D,394,77176.52
2021-0311A202120614Queen's Club,2021-0311,202120614,Queen's Club,Grass,32,A,3129,712937.91
