workclass,education
State-gov,Bachelors
Self-emp-not-inc,Bachelors
Private,HS-grad
Private,11th
Private,Bachelors
Private,Masters
Private,9th
Self-emp-not-inc,HS-grad
Private,Masters
Private,Bachelors
Private,Some-college
State-gov,Bachelors
Private,Bachelors
Private,Assoc-acdm
Private,Assoc-voc
Private,7th-8th
Self-emp-not-inc,HS-grad
Private,HS-grad
Private,11th
Self-emp-not-inc,Masters
Private,Doctorate
Private,HS-grad
Federal-gov,9th
Private,11th
Private,HS-grad
Local-gov,Bachelors
Private,HS-grad
?,Some-college
Private,HS-grad
Private,HS-grad
Local-gov,Assoc-acdm
Private,Some-college
Private,Bachelors
Federal-gov,Some-college
State-gov,Some-college
Private,11th
Private,Some-college
Private,HS-grad
Private,Some-college
Self-emp-not-inc,Assoc-acdm
Private,9th
Self-emp-not-inc,Bachelors
Private,Bachelors
Private,HS-grad
Private,HS-grad
Federal-gov,Bachelors
Private,HS-grad
Private,Masters
State-gov,Assoc-voc
Private,Assoc-voc
Private,Some-college
Private,HS-grad
Private,Prof-school
Federal-gov,Bachelors
Self-emp-inc,HS-grad
Private,Some-college
Private,5th-6th
Private,Assoc-voc
Private,HS-grad
Private,HS-grad
Private,Bachelors
?,7th-8th
Private,HS-grad
Private,Doctorate
Private,Some-college
Private,HS-grad
Private,Some-college
Private,HS-grad
Self-emp-inc,Some-college
?,Some-college
Private,Some-college
Private,Bachelors
Self-emp-not-inc,Bachelors
Private,Some-college
Private,Some-college
Private,HS-grad
Private,Assoc-acdm
?,10th
Private,11th
Local-gov,7th-8th
Private,HS-grad
Private,Bachelors
Private,HS-grad
Private,HS-grad
Private,HS-grad
Private,HS-grad
Local-gov,HS-grad
Private,Masters
Private,9th
Federal-gov,Doctorate
Private,Assoc-voc
Private,Some-college
Private,Some-college
Private,HS-grad
Local-gov,Bachelors
Local-gov,Some-college
Self-emp-not-inc,Doctorate
Private,Some-college
Private,Assoc-acdm
Federal-gov,HS-grad
Private,Masters
Private,Bachelors
Self-emp-not-inc,Masters
Private,Some-college
Private,HS-grad
Self-emp-inc,HS-grad
?,10th
Private,11th
Local-gov,HS-grad
Private,HS-grad
Private,Bachelors
Private,Prof-school
Self-emp-not-inc,HS-grad
Private,Some-college
Private,HS-grad
Private,9th
Self-emp-inc,Some-college
Local-gov,Assoc-voc
Private,Some-college
Private,HS-grad
Private,Some-college
Private,Bachelors
Private,Bachelors
State-gov,Bachelors
Private,Some-college
Private,Bachelors
Private,Some-college
Private,Assoc-acdm
?,HS-grad
Private,Some-college
Private,Assoc-acdm
Private,HS-grad
Self-emp-not-inc,HS-grad
Private,Bachelors
Private,Assoc-acdm
Federal-gov,Masters
Self-emp-not-inc,HS-grad
Private,Assoc-voc
Private,Some-college
Private,Some-college
Self-emp-inc,HS-grad
Private,Some-college
Private,Some-college
Private,Assoc-voc
Private,Some-college
Private,HS-grad
Private,Some-college
Private,HS-grad
Private,11th
?,Some-college
Local-gov,Some-college
Private,HS-grad
Private,Bachelors
